station_id,station_name,so_many,one_or_two,none,lines_served
17596,"Bowling Green",4,7,36,"4 5"
17556,"Hoyt St",1,2,10,"2 3"
17840,"Gates Av",5,3,27,"J Z"
17564,"Sterling St",1,4,17,"2 5"
17719,"20 Av",1,4,17,"D"
17908,"Bay Ridge Av",2,3,17,"R"
17817,"Beach 60 St",1,6,24,"A"
17542,"Intervale Av",2,2,14,"2 5"
17544,"Jackson Av",3,3,21,"2 5"
17575,"Rockaway Av",4,0,14,"2 3 4 5"
17582,"Woodlawn",0,4,14,"4"
17829,"Woodhaven Blvd",3,5,28,"J Z"
20028,"Sutter Av-Rutland Rd",3,3,21,"2 3 4 5"
17747,"Avenue M",2,3,18,"B Q"
17865,"Knickerbocker Av",1,4,18,"M"
17534,"Allerton Av",3,3,22,"2 5"
17868,"Flushing Av",1,5,22,"M J"
20566,"61 St-Woodside",1,6,26,"7"
17491,"231 St",4,1,19,"1"
17524,"WTC Cortlandt",4,1,19,"1"
17536,"Bronx Park East",1,1,8,"2 5"
17588,"Burnside Av",1,5,24,"4"
17592,"167 St",3,2,20,"4"
17642,"111 St",1,3,16,"7"
17697,"Van Siclen Av",1,1,8,"A C"
17877,"20 Av",1,1,8,"N W"
17882,"72 St",3,5,32,"N Q R"
17883,"86 St",1,2,12,"N Q R"
17607,"Castle Hill Av",4,3,29,"6"
20044,"46 St-Bliss St",2,3,21,"7"
17703,"Rockaway Blvd",5,8,55,"A"
17839,"Halsey St",1,3,17,"J"
20160,"34 St-Hudson Yards",2,2,17,"7"
17530,"225 St",2,1,13,"2 5"
17835,"Cleveland St",3,0,13,"J"
17515,"28 St",1,1,9,"1 2"
17742,"Beverley Rd",1,1,9,"B Q"
17886,"Astoria Blvd",1,5,27,"N W"
20033,"Westchester Sq-E Tremont Av",1,3,18,"6"
20035,"E 143 St-St Mary's St",1,1,9,"6"
20051,"81 St-Museum of Natural History",2,4,27,"A C B"
20083,"Canarsie-Rockaway Pkwy",2,6,36,"L"
20084,"Middle Village-Metropolitan Av",0,2,9,"M"
17611,"Elder Av",3,2,23,"6"
17674,"86 St",2,1,14,"A C B"
17716,"71 St",2,1,14,"D"
20158,"Morrison Av-Soundview",3,3,28,"6"
17603,"Buhre Av",0,2,10,"6"
17637,"Spring St",2,1,15,"4 6"
17856,"Sutter Av",0,2,10,"L"
17902,"Prospect Av",0,2,10,"D N R W"
20025,"Eastern Pkwy-Brooklyn Museum",0,2,10,"2 3 4"
20060,"W 8 St-NY Aquarium",1,1,10,"F Q"
17763,"5 Av / 53 St",0,4,21,"E F M"
17698,"Shepherd Av",2,1,16,"A C"
17746,"Avenue J",2,1,16,"B Q"
17508,"79 St",1,1,11,"1 2 3"
17676,"72 St",2,2,22,"A C B"
17832,"Cypress Hills",1,1,11,"J"
17887,"30 Av",2,2,22,"N W"
17751,"Sheepshead Bay",2,4,34,"B Q"
17828,"104 St",3,0,17,"J Z"
17539,"174 St",3,2,29,"2 5"
17901,"Union St",0,2,12,"D N R W"
23364,"23 St-Baruch College",2,1,18,"4 6"
20032,"Eastchester-Dyre Av",1,1,13,"5"
17528,"Nereid Av",1,2,20,"2 5"
17535,"Pelham Pkwy",1,4,34,"2 5"
17587,"183 St",2,2,28,"4"
17772,"7 Av",1,1,14,"F G"
17752,"Brighton Beach",0,4,29,"B Q"
17635,"Astor Pl",1,1,15,"4 6"
17815,"Broad Channel",2,1,24,"S A"
17609,"St Lawrence Av",3,0,25,"6"
17738,"7 Av",0,2,17,"B Q"
17826,"121 St",1,1,17,"J Z"
17875,"Fort Hamilton Pkwy",1,1,17,"N W"
17816,"Beach 67 St",1,2,26,"A"
17776,"Ditmas Av",0,1,9,"F"
17777,"18 Av",0,1,9,"F"
20018,"116 St-Columbia University",0,1,9,"1"
20065,"15 St-Prospect Park",1,1,19,"F G"
20077,"Far Rockaway-Mott Av",0,2,19,"A"
20079,"85 St-Forest Pkwy",1,2,29,"J"
17502,"125 St",1,0,10,"1"
17606,"Zerega Av",0,1,10,"6"
17745,"Avenue H",1,0,10,"B Q"
17889,"36 Av",0,1,10,"N W"
17721,"25 Av",0,1,11,"D"
17780,"Avenue N",0,1,11,"F"
20085,"Astoria-Ditmars Blvd",2,0,22,"N W"
17533,"Burke Av",0,1,15,"2 5"
20045,"40 St-Lowery St",1,0,16,"7"
20039,"Mets-Willets Point",0,1,21,"7"
17590,"Mt Eden Av",0,0,20,"4"
17722,"Bay 50 St",0,0,10,"D"
20016,"Marble Hill-225 St",0,0,11,"1"
20046,"33 St-Rawson St",0,0,10,"7"
